barcode,hit count,enterobase serotype,enterobase species,mash species,1436893830000|3159571,1436893909000|3159808,2873786891000|3159389,2873787160000|3160196,4310679577000|3158082,4310679772000|3158667,4310679831000|3158844,4310680254000|3160113,4310680315000|3160296,4310680399000|3160548
ESC_HA3350AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_OA1614AA_AS,9,,Escherichia coli,,1,0,1,1,1,1,1,1,1,1
ESC_GA6173AA_AS,0,,Shigella flexneri,,0,0,0,0,0,0,0,0,0,0
ESC_NA7934AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_IA0033AA_AS,9,O36:H14,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_BA5648AA_AS,0,Flexneri6,Shigella flexneri,,0,0,0,0,0,0,0,0,0,0
ESC_PA0895AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_NA0061AA_AS,0,,Escherichia coli,Shigella flexneri,0,0,0,0,0,0,0,0,0,0
ESC_BA5128AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_HA3424AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_IA9168AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_FA4689AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_MA2775AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA6385AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_KA4386AA_AS,10,O157:H7,,,1,1,1,1,1,1,1,1,1,1
ESC_JA5886AA_AS,0,Shigella Dysenteriae,Shigella dysenteriae,,0,0,0,0,0,0,0,0,0,0
ESC_GA3394AA_AS,9,,,,1,1,1,1,0,1,1,1,1,1
ESC_CA3382AA_AS,0,Flexneri2,Shigella flexneri,,0,0,0,0,0,0,0,0,0,0
ESC_KA5425AA_AS,10,Escherichia Coli,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_OA1534AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_KA2180AA_AS,10,O174:H36,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_KA3483AA_AS,0,Shigella Sonnei,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_LA6062AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA3706AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_NA2980AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_GA5112AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_OA7476AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_IA4162AA_AS,2,,Escherichia coli,"[1455 seqs] NZ_CDRK01000001.1 Escherichia coli strain 80B_L1, whole genome shotgun sequence [...]",0,0,0,1,1,0,0,0,0,0
ESC_HA0573AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_MA3924AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA0068AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_OA1387AA_AS,0,,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_LA0003AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_IA7663AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_IA4023AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_CA4199AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA3784AA_AS,0,,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_JA4331AA_AS,0,Shigella Flexneri,Shigella flexneri,,0,0,0,0,0,0,0,0,0,0
ESC_LA1038AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_JA4516AA_AS,4,Escherichia Coli,Escherichia coli,,0,0,0,1,1,1,0,0,0,1
ESC_KA7777AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_GA3899AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_JA6520AA_AS,0,Shigella Sonnei,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_IA3964AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_IA2282AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_LA1884AA_AS,9,,Escherichia coli,,1,1,1,1,1,1,1,1,1,0
ESC_JA6595AA_AS,0,Shigella Dysenteriae,Shigella dysenteriae,,0,0,0,0,0,0,0,0,0,0
ESC_IA1087AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_BA5798AA_AS,0,,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_HA6282AA_AS,10,O157:H7,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA2459AA_AS,0,,Shigella flexneri,,0,0,0,0,0,0,0,0,0,0
ESC_FA6649AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_BA8279AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA3270AA_AS,0,,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_GA4763AA_AS,9,,Escherichia coli,,1,1,1,1,1,1,1,1,1,0
ESC_FA7839AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA6596AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA1289AA_AS,0,,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_CA5843AA_AS,0,,Shigella flexneri,,0,0,0,0,0,0,0,0,0,0
ESC_PA1038AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_LA5671AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_GA5770AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_OA0127AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_IA4733AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_HA2299AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_GA8963AA_AS,10,O111Ssi:H21,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA4128AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_AA8101AA_AS,10,O157:H7,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_GA7709AA_AS,0,,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_BA6139AA_AS,0,,Shigella boydii,,0,0,0,0,0,0,0,0,0,0
ESC_JA8859AA_AS,10,,,,1,1,1,1,1,1,1,1,1,1
ESC_BA4216AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_OA6472AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_BA7909AA_AS,9,,Escherichia coli,,1,1,1,0,1,1,1,1,1,1
ESC_HA1193AA_AS,1,,Shigella flexneri,,0,0,1,0,0,0,0,0,0,0
ESC_MA4551AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_BA6063AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_NA0038AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_BA1174AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA1843AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_PA0156AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA5143AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_FA8021AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_FA9532AA_AS,9,,Escherichia coli,,1,1,1,1,1,1,1,1,1,0
ESC_BA1248AA_AS,10,O157,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_LA6002AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_JA0389AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA1380AA_AS,0,3A,Shigella flexneri,,0,0,0,0,0,0,0,0,0,0
ESC_CA2277AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_MA3733AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_BA5381AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_PA1572AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA4869AA_AS,10,O157:H7,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA7128AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_JA8064AA_AS,10,Escherichia Coli,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_LA5805AA_AS,10,O157:Nm,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA4200AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_BA0157AA_AS,0,,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_HA4792AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA2876AA_AS,0,,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_BA2750AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA1313AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_PA1696AA_AS,4,,Escherichia coli,,0,0,0,0,1,1,1,0,1,0
ESC_PA0893AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_GA5063AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_PA1956AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA2748AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA2408AA_AS,3,,Escherichia coli,,0,0,0,1,1,0,0,0,0,1
ESC_PA2130AA_AS,10,,Shigella boydii,,1,1,1,1,1,1,1,1,1,1
ESC_LA2806AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_BA3956AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_KA2165AA_AS,10,Escherichia Coli,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_PA1515AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA8137AA_AS,8,,Escherichia coli,,1,1,1,1,1,1,1,0,0,1
ESC_BA2566AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_PA2098AA_AS,9,,Shigella boydii,,0,1,1,1,1,1,1,1,1,1
ESC_AA8190AA_AS,0,,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_IA4362AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_BA7017AA_AS,9,,Escherichia coli,,1,0,1,1,1,1,1,1,1,1
ESC_LA1121AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA6920AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA6288AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA5191AA_AS,1,,Shigella dysenteriae,,0,0,0,0,1,0,0,0,0,0
ESC_LA1847AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_BA9832AA_AS,0,,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_IA4704AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA2044AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_FA7759AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_FA7725AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_LA0260AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_IA6426AA_AS,10,O145:H28,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_JA4961AA_AS,0,Shigella Boydii,Shigella boydii,,0,0,0,0,0,0,0,0,0,0
ESC_KA4004AA_AS,0,Shigella Dysenteriae,Shigella dysenteriae,,0,0,0,0,0,0,0,0,0,0
ESC_IA1310AA_AS,9,,Escherichia coli,,1,1,1,0,1,1,1,1,1,1
ESC_HA0242AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_GA1846AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA4818AA_AS,10,O157:H7,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_AA8800AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_CA0117AA_AS,8,,Escherichia coli,,1,0,1,1,0,1,1,1,1,1
ESC_BA3430AA_AS,0,Sonnei,Shigella sonnei,,0,0,0,0,0,0,0,0,0,0
ESC_LA4578AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA3984AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_GA6687AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_LA0445AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA8762AA_AS,7,O36,Escherichia coli,,1,0,1,1,0,1,1,1,1,0
ESC_HA0459AA_AS,2,,Escherichia albertii,Escherichia albertii,0,0,0,1,1,0,0,0,0,0
ESC_JA0116AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_BA8955AA_AS,8,,Escherichia coli,,1,1,0,1,0,1,1,1,1,1
ESC_LA6600AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_FA5601AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_IA0442AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_JA5179AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_LA4546AA_AS,9,,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_BA0395AA_AS,0,Flexneri1,Shigella flexneri,,0,0,0,0,0,0,0,0,0,0
ESC_CA3026AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA8367AA_AS,8,O73:H40,Escherichia coli,,1,0,1,0,1,1,1,1,1,1
ESC_BA3638AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA4392AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA0160AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_HA8621AA_AS,9,O25:H25,Escherichia coli,,1,1,1,1,0,1,1,1,1,1
ESC_GA9193AA_AS,9,O6:H31,Escherichia coli,,1,1,1,1,1,1,1,1,1,0
ESC_IA2477AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_BA9199AA_AS,10,O157,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
ESC_KA2397AA_AS,10,,Escherichia coli,,1,1,1,1,1,1,1,1,1,1
